日期,开盘价,收盘价,最高价,最低价,成交量
2023-04-27,27.43,27.8,27.89,27.1,513736.0
2023-04-26,27.41,27.46,27.64,27.25,333996.0
2023-04-25,27.4,27.51,27.67,27.17,442516.0
2023-04-24,28.02,27.36,28.09,27.27,535892.0
2023-04-21,28.2,28.0,28.68,27.95,580134.0
2023-04-20,28.16,28.08,28.33,27.97,419389.0
2023-04-19,28.5,28.22,28.54,28.08,381782.0
2023-04-18,28.18,28.49,28.55,28.11,611207.0
2023-04-17,27.88,28.18,28.19,27.73,483124.0
2023-04-14,28.18,27.92,28.31,27.88,417361.0
2023-04-13,28.0,28.1,28.22,27.88,389720.0
2023-04-12,28.52,28.16,28.58,28.12,450222.0
2023-04-11,28.8,28.52,28.88,28.46,459655.0
2023-04-10,29.18,28.86,29.29,28.77,398584.0
2023-04-07,28.91,29.14,29.28,28.84,264010.0
2023-04-06,29.09,28.92,29.1,28.7,311790.0
2023-04-04,29.02,29.11,29.25,28.82,356836.0
2023-04-03,29.11,28.99,29.18,28.82,329934.0
